epoch,train_loss,val_loss,val_iou,val_dice
1,0.583884290080482,0.4777814151427177,0.6634502247545245,0.7972035206981956
2,0.4425851075032002,0.4148943548695686,0.6976408111876335,0.8215172319858285
3,0.395147430117559,0.3709960022698278,0.7114936122781204,0.8310545780284917
4,0.3455897465947895,0.3458720770749179,0.7312859000738745,0.8446028944846041
5,0.32317661672005626,0.31279882046544977,0.7446783199140676,0.8534096665533164
6,0.3009001305489297,0.33231439024249243,0.7319284567562802,0.844951652883698
7,0.28945818610678276,0.29072692566238373,0.7618577572982145,0.8645817255785343
8,0.26928758163678423,0.28383661883150635,0.7610601906091642,0.8640947886135267
9,0.26725911761361737,0.2860695147624286,0.7520672503039143,0.858284239398318
10,0.2544914466346467,0.27156730822737823,0.770312741104322,0.8700218385230254
11,0.23739846168243212,0.25457222636038135,0.7807216598739423,0.8765993287912
12,0.2301538151609368,0.27081361573989526,0.7629340865081163,0.8652686078557855
13,0.22534458365904006,0.2520391883350644,0.7818431155326653,0.877321310743827
14,0.21874308270697096,0.2507703471953376,0.7833026235282656,0.8783258820082673
15,0.21057346711382807,0.24866150443261792,0.7795361285938419,0.8758338196632576
16,0.20791982405128576,0.25344706359116925,0.7853389403565599,0.8794303325953376
17,0.19757898315132205,0.2362228878559017,0.7921352757923845,0.8838165616800663
18,0.19882429500850696,0.26430618103313824,0.7705575856766682,0.8700968678132661
19,0.19657666492833734,0.23754540388134943,0.7906712414561838,0.8828643214875374
20,0.18490207981414422,0.23307355017215994,0.792331747151175,0.8838871599657262
21,0.1820915617944751,0.23751300479112405,0.7894563727542189,0.8821550564489503
22,0.18076157255848221,0.23293633211271564,0.7959795799965287,0.8862099621606909
23,0.17879023609341063,0.23324691609274573,0.7944598384054282,0.8852468229565225
24,0.17188919696954275,0.2215668015643385,0.8050130657527758,0.8918550721270294
25,0.16840129764891415,0.22106370066779718,0.8019591819627483,0.8898704778378503
26,0.16374660991296905,0.21386205027068872,0.8076629142359154,0.8934729177804176
27,0.16264463271698748,0.21912192175353784,0.8056343676073278,0.892121446619549
28,0.1599761799106101,0.21862850205700388,0.8063073966342941,0.8926175260261113
29,0.15670455521859522,0.21341223993163178,0.8097205334815426,0.894736130247003
30,0.15411258683866833,0.21817921516295322,0.806236553412024,0.8925451234238264
31,0.15047109795326574,0.2072104288262655,0.8144940283929878,0.8976060788936138
32,0.1490697312920724,0.21267214515620697,0.8101640634228904,0.8949513539024021
33,0.1467287554577856,0.2103822007088165,0.8108966958381442,0.8953959698419482
34,0.14486943963836255,0.21237218682316766,0.8103948222161595,0.895135874019467
35,0.14258154589274674,0.2079314251819304,0.8150367848329707,0.8979334837520232
36,0.1398321696494063,0.20704285743522394,0.8161475283040988,0.8986348276552947
37,0.1387082019755385,0.2063042087203115,0.813504821069941,0.8970279390475809
38,0.1380902387238181,0.2055513608282891,0.8159373998641968,0.8984649665113809
39,0.1359127391026613,0.21060361835874902,0.8121047568101343,0.8961787159420913
40,0.13439719708583112,0.2078367980572546,0.8147834674485901,0.8977836478054916
41,0.13316114070416052,0.20379062713527554,0.817859273654199,0.8996684771909701
42,0.13273461250392024,0.20366838091446948,0.8185905876995232,0.9001256693964419
43,0.1325254127379766,0.20450478996369836,0.8182043623233187,0.8998997726616338
44,0.13100727296590972,0.20494292183669974,0.8188491756579935,0.9002688874997327
45,0.13022195904663647,0.20595681647695258,0.8178717681698805,0.8996487671364595
46,0.1291797995934738,0.20219362508481042,0.8202782972213936,0.9011204391914237
47,0.13062466536116726,0.20640335686514658,0.8181864324765714,0.8998887975539458
48,0.12873570776645682,0.20447510300260602,0.8198519466893947,0.9008832840894365
49,0.12987872589033797,0.20396249064971964,0.8210546253384023,0.9016038071810807
50,0.12905906423298974,0.20512207062505136,0.8170031793660955,0.8991247499570231
